File,CTRL,CCF_RANK_ORIG,CCF_ACRO_ORIG,CCF_NAME_ORIG,CCF_NAME,CCF_PUBLISHER_ORIG,CCF_URL_ORIG,SPRINGER_PROPERTY_ORG,SPRINGER_ID_ORG,SPRINGER_NAME_ORG,SPRINGER_NAME,NAME_UPPER_ALL,MATCHING_CASE,COMMENT
CCF_SPR_MATCH_V3-28-12 - Copy.csv,,C,ACCV,Asian Conference on Computer Vision,ASIAN CONFERENCE ON COMPUTER VISION,Springer,http://www.accv2012.org/,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/accv,Asian Conference on Computer Vision,ASIAN CONFERENCE ON COMPUTER VISION,ASIAN CONFERENCE ON COMPUTER VISION,,
CCF_SPR_MATCH_V3-28-12 - Copy.csv,,C,ALT,International Conference on Algorithmic Learning Theory,INTERNATIONAL CONFERENCE ON ALGORITHMIC LEARNING THEORY,Springer,http://www-alg.ist.hokudai.ac.jp/~thomas/ALT13/,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/alt,International Conference on Algorithmic Learning Theory,INTERNATIONAL CONFERENCE ON ALGORITHMIC LEARNING THEORY,INTERNATIONAL CONFERENCE ON ALGORITHMIC LEARNING THEORY,,
CCF_SPR_MATCH_V3-28-12 - Copy.csv,,C,NOMS,Asia-Pacific Network Operations and Management Symposium,ASIA-PACIFIC NETWORK OPERATIONS AND MANAGEMENT SYMPOSIUM,IFIP/IEEE,http://www.apnoms.org/2012/,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/apnoms,Asia-Pacific Network Operations and Management Symposium,ASIA-PACIFIC NETWORK OPERATIONS AND MANAGEMENT SYMPOSIUM,ASIA-PACIFIC NETWORK OPERATIONS AND MANAGEMENT SYMPOSIUM,,
CCF_SPR_MATCH_V3-28-12 - Copy.csv,,C,ATVA,International Symposium on Automated Technology for Verification and Analysis,INTERNATIONAL SYMPOSIUM ON AUTOMATED TECHNOLOGY FOR VERIFICATION AND ANALYSIS,,http://www.iarcs.org.in/atva2012/,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/atva,International Symposium on Automated Technology for Verification and Analysis,INTERNATIONAL SYMPOSIUM ON AUTOMATED TECHNOLOGY FOR VERIFICATION AND ANALYSIS,INTERNATIONAL SYMPOSIUM ON AUTOMATED TECHNOLOGY FOR VERIFICATION AND ANALYSIS,,
CCF_SPR_MATCH_V3-28-12 - Copy.csv,,B,ICPP,International Conference on Parallel Processing,INTERNATIONAL CONFERENCE ON PARALLEL PROCESSING,IEEE,http://icpp2013.ens-lyon.fr/,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/conpar,International Conference on Parallel Processing,INTERNATIONAL CONFERENCE ON PARALLEL PROCESSING,INTERNATIONAL CONFERENCE ON PARALLEL PROCESSING,,
CCF_SPR_MATCH_V3-28-12 - Copy.csv,,C,COSIT,International Conference on Spatial Information Theory,INTERNATIONAL CONFERENCE ON SPATIAL INFORMATION THEORY,ACM,http://www.cosit.info/,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/cosit,International Conference on Spatial Information Theory,INTERNATIONAL CONFERENCE ON SPATIAL INFORMATION THEORY,INTERNATIONAL CONFERENCE ON SPATIAL INFORMATION THEORY,,
CCF_SPR_MATCH_V3-28-12 - Copy.csv,,B,CP,International Conference on Principles and Practice of Constraint Programming,INTERNATIONAL CONFERENCE ON PRINCIPLES AND PRACTICE OF CONSTRAINT PROGRAMMING,Springer,http://cp2013.a4cp.org/,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/cp,International Conference on Principles and Practice of Constraint Programming,INTERNATIONAL CONFERENCE ON PRINCIPLES AND PRACTICE OF CONSTRAINT PROGRAMMING,INTERNATIONAL CONFERENCE ON PRINCIPLES AND PRACTICE OF CONSTRAINT PROGRAMMING,,
CCF_SPR_MATCH_V3-28-12 - Copy.csv,,C,DRM,ACM Workshop on Digital Rights Management,ACM WORKSHOP ON DIGITAL RIGHTS MANAGEMENT,ACM,http://drm11.cased.de/,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/drm,ACM Workshop on Digital Rights Management,ACM WORKSHOP ON DIGITAL RIGHTS MANAGEMENT,ACM WORKSHOP ON DIGITAL RIGHTS MANAGEMENT,,
CCF_SPR_MATCH_V3-28-12 - Copy.csv,,B,ECCV,European Conference on Computer Vision,EUROPEAN CONFERENCE ON COMPUTER VISION,Springer,http://eccv2012.unifi.it/,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/eccv,European Conference on Computer Vision,EUROPEAN CONFERENCE ON COMPUTER VISION,EUROPEAN CONFERENCE ON COMPUTER VISION,,
CCF_SPR_MATCH_V3-28-12 - Copy.csv,,B,ECOOP,European Conference on Object-Oriented Programming,EUROPEAN CONFERENCE ON OBJECT-ORIENTED PROGRAMMING,AITO,http://ecoop.org/,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/ecoop,European Conference on Object-Oriented Programming,EUROPEAN CONFERENCE ON OBJECT-ORIENTED PROGRAMMING,EUROPEAN CONFERENCE ON OBJECT-ORIENTED PROGRAMMING,,
CCF_SPR_MATCH_V3-28-12 - Copy.csv,,C,ER,International Conference on Conceptual Modeling,INTERNATIONAL CONFERENCE ON CONCEPTUAL MODELING,Springer,http://www.hkws.org/conference/ER2013/,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/er,International Conference on Conceptual Modeling,INTERNATIONAL CONFERENCE ON CONCEPTUAL MODELING,INTERNATIONAL CONFERENCE ON CONCEPTUAL MODELING,,
CCF_SPR_MATCH_V3-28-12 - Copy.csv,,C,ESA,European Symposium on Algorithms,EUROPEAN SYMPOSIUM ON ALGORITHMS,Springer,http://esa-symposium.org/,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/esa,European Symposium on Algorithms,EUROPEAN SYMPOSIUM ON ALGORITHMS,EUROPEAN SYMPOSIUM ON ALGORITHMS,,
CCF_SPR_MATCH_V3-28-12 - Copy.csv,,B,ESORICS,European Symposium on Research in Computer Security,EUROPEAN SYMPOSIUM ON RESEARCH IN COMPUTER SECURITY,Springer,http://esorics2013.isg.rhul.ac.uk/,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/esorics,European Symposium on Research in Computer Security,EUROPEAN SYMPOSIUM ON RESEARCH IN COMPUTER SECURITY,EUROPEAN SYMPOSIUM ON RESEARCH IN COMPUTER SECURITY,,
CCF_SPR_MATCH_V3-28-12 - Copy.csv,,C,GECCO,Genetic and Evolutionary Computation Conference,GENETIC AND EVOLUTIONARY COMPUTATION CONFERENCE,ACM,http://www.sigevo.org/gecco-2013/,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/gecco,Genetic and Evolutionary Computation Conference,GENETIC AND EVOLUTIONARY COMPUTATION CONFERENCE,GENETIC AND EVOLUTIONARY COMPUTATION CONFERENCE,,
