SPRINGER_PROPERTY_ORG,SPRINGER_ID_ORG,SPRINGER_NAME_ORG,SPRINGER_NAME,NAME_UPPER_ALL,No,H4_Field,H4_Rank,H4_Source,Hisory_4,H3_Field,H3_Rank,H3_Source,History_3,H2_Field,H2_Rank,H2_Source,History_2,H1_Field,H1_Rank,H1_Source,History_1,Title,ALL,ALL_UPER,Acro,Source,Rank,Changed?,For,Column,MATCH,COMMENT
http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/acai-agents,Advanced Course on Artificial Intelligence,,,90,,,,,"

 Field Of Research: 0801 - Artificial Intelligence and Image Processing
","

 Rank: C
","

 Source: ERA2010
","

 Source: ERA2010
||

 Rank: C
||

 Field Of Research: 0801 - Artificial Intelligence and Image Processing
","

 Field Of Research: 0801 - Artificial Intelligence and Image Processing
","

 Rank: C
","

 Source: CORE2013
","

 Source: CORE2013
||

 Rank: C
||

 Field Of Research: 0801 - Artificial Intelligence and Image Processing
","

 Field Of Research: 0801 - Artificial Intelligence and Image Processing
","

 Rank: C
","

 Source: CORE2014
","

 Source: CORE2014
||

 Rank: C
||

 Field Of Research: 0801 - Artificial Intelligence and Image Processing
",Advanced Course on Artificial Intelligence,Advanced Course on Artificial Intelligence,ADVANCED COURSE ON ARTIFICIAL INTELLIGENCE,ACAI,CORE2014,C,No,801,,by name,
http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/airs,Asia Information Retrieval Symposium,,,156,"

 Field Of Research: 0807 - Library and Information Studies
 ",,,"||||

 Field Of Research: 0807 - Library and Information Studies
 ","

 Field Of Research: 0806 - Information Systems
","

 Rank: C
","

 Source: ERA2010
","

 Source: ERA2010
||

 Rank: C
||

 Field Of Research: 0806 - Information Systems
","

 Field Of Research: 0807 - Library and Information Studies
","

 Rank: C
","

 Source: CORE2013
","

 Source: CORE2013
||

 Rank: C
||

 Field Of Research: 0807 - Library and Information Studies
","

 Field Of Research: 0806 - Information Systems
","

 Rank: C
","

 Source: CORE2014
","

 Source: CORE2014
||

 Rank: C
||

 Field Of Research: 0806 - Information Systems
",Asia Information Retrieval Symposium,Asia Information Retrieval Symposium,ASIA INFORMATION RETRIEVAL SYMPOSIUM,AIRS,CORE2014,C,No,806,807,by name,
http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/seal,Asia-Pacific Conference on Simulated Evolution and Learning,,,181,,"

 Rank: B
","

 Source: CORE2008
","

 Source: CORE2008
||

 Rank: B
||","

 Field Of Research: 0801 - Artificial Intelligence and Image Processing
","

 Rank: B
","

 Source: ERA2010
","

 Source: ERA2010
||

 Rank: B
||

 Field Of Research: 0801 - Artificial Intelligence and Image Processing
","

 Field Of Research: 0801 - Artificial Intelligence and Image Processing
","

 Rank: B
","

 Source: CORE2013
","

 Source: CORE2013
||

 Rank: B
||

 Field Of Research: 0801 - Artificial Intelligence and Image Processing
","

 Field Of Research: 0801 - Artificial Intelligence and Image Processing
","

 Rank: B
","

 Source: CORE2014
","

 Source: CORE2014
||

 Rank: B
||

 Field Of Research: 0801 - Artificial Intelligence and Image Processing
",Asia-Pacific Conference on Simulated Evolution and Learning,Asia-Pacific Conference on Simulated Evolution and Learning,ASIA-PACIFIC CONFERENCE ON SIMULATED EVOLUTION AND LEARNING,SEAL,CORE2014,B,No,801,,by name,
http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/apnoms,Asia-Pacific Network Operations and Management Symposium,,,184,,"

 Rank: B
","

 Source: CORE2008
","

 Source: CORE2008
||

 Rank: B
||","

 Field Of Research: 0805 - Distributed Computing
","

 Rank: C
","

 Source: ERA2010
","

 Source: ERA2010
||

 Rank: C
||

 Field Of Research: 0805 - Distributed Computing
","

 Field Of Research: 0805 - Distributed Computing
","

 Rank: C
","

 Source: CORE2013
","

 Source: CORE2013
||

 Rank: C
||

 Field Of Research: 0805 - Distributed Computing
","

 Field Of Research: 0805 - Distributed Computing
","

 Rank: C
","

 Source: CORE2014
","

 Source: CORE2014
||

 Rank: C
||

 Field Of Research: 0805 - Distributed Computing
",Asia-Pacific Network Operations and Management Symposium,Asia-Pacific Network Operations and Management Symposium,ASIA-PACIFIC NETWORK OPERATIONS AND MANAGEMENT SYMPOSIUM,APNOMS,CORE2014,C,Yes,805,,by name,
http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/apscc,Asia-Pacific Services Computing Conference,,,185,,,,,"

 Field Of Research: 0805 - Distributed Computing
","

 Rank: C
","

 Source: ERA2010
","

 Source: ERA2010
||

 Rank: C
||

 Field Of Research: 0805 - Distributed Computing
","

 Field Of Research: 0805 - Distributed Computing
","

 Rank: C
","

 Source: CORE2013
","

 Source: CORE2013
||

 Rank: C
||

 Field Of Research: 0805 - Distributed Computing
","

 Field Of Research: 0805 - Distributed Computing
","

 Rank: C
","

 Source: CORE2014
","

 Source: CORE2014
||

 Rank: C
||

 Field Of Research: 0805 - Distributed Computing
",Asia-Pacific Services Computing Conference,Asia-Pacific Services Computing Conference,ASIA-PACIFIC SERVICES COMPUTING CONFERENCE,APSCC,CORE2014,C,No,805,,by name,
http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/accv,Asian Conference on Computer Vision,,,167,,"

 Rank: B
","

 Source: CORE2008
","

 Source: CORE2008
||

 Rank: B
||","

 Field Of Research: 0801 - Artificial Intelligence and Image Processing
","

 Rank: B
","

 Source: ERA2010
","

 Source: ERA2010
||

 Rank: B
||

 Field Of Research: 0801 - Artificial Intelligence and Image Processing
","

 Field Of Research: 0801 - Artificial Intelligence and Image Processing
","

 Rank: B
","

 Source: CORE2013
","

 Source: CORE2013
||

 Rank: B
||

 Field Of Research: 0801 - Artificial Intelligence and Image Processing
","

 Field Of Research: 0801 - Artificial Intelligence and Image Processing
","

 Rank: B
","

 Source: CORE2014
","

 Source: CORE2014
||

 Rank: B
||

 Field Of Research: 0801 - Artificial Intelligence and Image Processing
",Asian Conference on Computer Vision,Asian Conference on Computer Vision,ASIAN CONFERENCE ON COMPUTER VISION,ACCV,CORE2014,B,No,801,,by name,
http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/aplas,Asian Symposium on Programming Languages and Systems,,,171,,"

 Rank: B
","

 Source: CORE2008
","

 Source: CORE2008
||

 Rank: B
||","

 Field Of Research: 0803 - Computer Software
","

 Rank: B
","

 Source: ERA2010
","

 Source: ERA2010
||

 Rank: B
||

 Field Of Research: 0803 - Computer Software
","

 Field Of Research: 0803 - Computer Software
","

 Rank: B
","

 Source: CORE2013
","

 Source: CORE2013
||

 Rank: B
||

 Field Of Research: 0803 - Computer Software
","

 Field Of Research: 0803 - Computer Software
","

 Rank: B
","

 Source: CORE2014
","

 Source: CORE2014
||

 Rank: B
||

 Field Of Research: 0803 - Computer Software
",ASIAN Symposium on Programming Languages and Systems,ASIAN Symposium on Programming Languages and Systems,ASIAN SYMPOSIUM ON PROGRAMMING LANGUAGES AND SYSTEMS,APLAS,CORE2014,B,No,803,,by name,
http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/acisp,Australasian Conference on Information Security and Privacy,,,212,,"

 Rank: B
","

 Source: CORE2008
","

 Source: CORE2008
||

 Rank: B
||","

 Field Of Research: 0804 - Data Format
","

 Rank: B
","

 Source: ERA2010
","

 Source: ERA2010
||

 Rank: B
||

 Field Of Research: 0804 - Data Format
","

 Field Of Research: 0804 - Data Format
","

 Rank: Australasian
","

 Source: CORE2013
","

 Source: CORE2013
||

 Rank: Australasian
||

 Field Of Research: 0804 - Data Format
","

 Field Of Research: 0804 - Data Format
","

 Rank: Australasian
","

 Source: CORE2014
","

 Source: CORE2014
||

 Rank: Australasian
||

 Field Of Research: 0804 - Data Format
",Australasian Conference on Information Security and Privacy,Australasian Conference on Information Security and Privacy,AUSTRALASIAN CONFERENCE ON INFORMATION SECURITY AND PRIVACY,ACISP,CORE2014,Australasian,Yes,804,,by name,
http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/adc,Australasian Database Conference,,,219,,"

 Rank: B
","

 Source: CORE2008
","

 Source: CORE2008
||

 Rank: B
||","

 Field Of Research: 0804 - Data Format
","

 Rank: B
","

 Source: ERA2010
","

 Source: ERA2010
||

 Rank: B
||

 Field Of Research: 0804 - Data Format
","

 Field Of Research: 0804 - Data Format
","

 Rank: Australasian
","

 Source: CORE2013
","

 Source: CORE2013
||

 Rank: Australasian
||

 Field Of Research: 0804 - Data Format
","

 Field Of Research: 0804 - Data Format
","

 Rank: Australasian
","

 Source: CORE2014
","

 Source: CORE2014
||

 Rank: Australasian
||

 Field Of Research: 0804 - Data Format
",Australasian Database Conference,Australasian Database Conference,AUSTRALASIAN DATABASE CONFERENCE,ADC,CORE2014,Australasian,Yes,804,,by name,
http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/ausai,Australasian Joint Conference on Artificial Intelligence,,,224,,,,,"

 Field Of Research: 0801 - Artificial Intelligence and Image Processing
","

 Rank: B
","

 Source: ERA2010
","

 Source: ERA2010
||

 Rank: B
||

 Field Of Research: 0801 - Artificial Intelligence and Image Processing
","

 Field Of Research: 0801 - Artificial Intelligence and Image Processing
","

 Rank: Australasian
","

 Source: CORE2013
","

 Source: CORE2013
||

 Rank: Australasian
||

 Field Of Research: 0801 - Artificial Intelligence and Image Processing
","

 Field Of Research: 0801 - Artificial Intelligence and Image Processing
","

 Rank: Australasian
","

 Source: CORE2014
","

 Source: CORE2014
||

 Rank: Australasian
||

 Field Of Research: 0801 - Artificial Intelligence and Image Processing
",Australasian Joint Conference on Artificial Intelligence,Australasian Joint Conference on Artificial Intelligence,AUSTRALASIAN JOINT CONFERENCE ON ARTIFICIAL INTELLIGENCE,AI,CORE2014,Australasian,Yes,801,,by name,
