SPRINGER_PROPERTY_ORG,SPRINGER_ID_ORG,SPRINGER_NAME_ORG,SPRINGER_NAME,NAME_UPPER_ALL,No,H4_Field,H4_Rank,H4_Source,Hisory_4,H3_Field,H3_Rank,H3_Source,History_3,H2_Field,H2_Rank,H2_Source,History_2,H1_Field,H1_Rank,H1_Source,History_1,Title_CORE_ORIG,ALL_UPER,Acro,Source,Rank_CORE_ORIG,Changed?,For,Column,MATCH,COMMENT
http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/RelMiCS,International Conference on Relational and Algebraic Methods in Computer Science,INTERNATIONAL CONFERENCE ON RELATIONAL AND ALGEBRAIC METHODS IN COMPUTER SCIENCE,INTERNATIONAL CONFERENCE ON RELATIONAL AND ALGEBRAIC METHODS IN COMPUTER SCIENCE,,,,,,,,,,,,,,,,,,,INTERNATIONAL CONFERENCE ON RELATIONAL AND ALGEBRAIC METHODS IN COMPUTER SCIENCE,,,,,,,,match by name in spr
http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/ae-cai,Workshop on Augmented Environments for Computer-Assisted Interventions,WORKSHOP ON AUGMENTED ENVIRONMENTS FOR COMPUTER-ASSISTED INTERVENTIONS,WORKSHOP ON AUGMENTED ENVIRONMENTS FOR COMPUTER-ASSISTED INTERVENTIONS,,,,,,,,,,,,,,,,,,,WORKSHOP ON AUGMENTED ENVIRONMENTS FOR COMPUTER-ASSISTED INTERVENTIONS,,,,,,,,match by name in spr
http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/atal,International Workshop on Engineering Multi-Agent Systems,INTERNATIONAL WORKSHOP ON ENGINEERING MULTI-AGENT SYSTEMS,INTERNATIONAL WORKSHOP ON ENGINEERING MULTI-AGENT SYSTEMS,,,,,,,,,,,,,,,,,,,INTERNATIONAL WORKSHOP ON ENGINEERING MULTI-AGENT SYSTEMS,,,,,,,,match by name in spr
http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/bioaw,International Workshop on Biometric Authentication,INTERNATIONAL WORKSHOP ON BIOMETRIC AUTHENTICATION,INTERNATIONAL WORKSHOP ON BIOMETRIC AUTHENTICATION,,,,,,,,,,,,,,,,,,,INTERNATIONAL WORKSHOP ON BIOMETRIC AUTHENTICATION,,,,,,,,match by name in spr
http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/biomet,International Workshop on Biometric Authentication,INTERNATIONAL WORKSHOP ON BIOMETRIC AUTHENTICATION,INTERNATIONAL WORKSHOP ON BIOMETRIC AUTHENTICATION,,,,,,,,,,,,,,,,,,,INTERNATIONAL WORKSHOP ON BIOMETRIC AUTHENTICATION,,,,,,,,match by name in spr
http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/caise,Workshop on Enterprise and Organizational Modeling and Simulation,WORKSHOP ON ENTERPRISE AND ORGANIZATIONAL MODELING AND SIMULATION,WORKSHOP ON ENTERPRISE AND ORGANIZATIONAL MODELING AND SIMULATION,,,,,,,,,,,,,,,,,,,WORKSHOP ON ENTERPRISE AND ORGANIZATIONAL MODELING AND SIMULATION,,,,,,,,match by name in spr
http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/ccta,International Conference on Computer and Computing Technologies in Agriculture,INTERNATIONAL CONFERENCE ON COMPUTER AND COMPUTING TECHNOLOGIES IN AGRICULTURE,INTERNATIONAL CONFERENCE ON COMPUTER AND COMPUTING TECHNOLOGIES IN AGRICULTURE,,,,,,,,,,,,,,,,,,,INTERNATIONAL CONFERENCE ON COMPUTER AND COMPUTING TECHNOLOGIES IN AGRICULTURE,,,,,,,,match by name in spr
http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/digitalforensics,IFIP International Conference on Digital Forensics,IFIP INTERNATIONAL CONFERENCE ON DIGITAL FORENSICS,IFIP INTERNATIONAL CONFERENCE ON DIGITAL FORENSICS,,,,,,,,,,,,,,,,,,,IFIP INTERNATIONAL CONFERENCE ON DIGITAL FORENSICS,,,,,,,,match by name in spr
http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/emas,International Workshop on Engineering Multi-Agent Systems,INTERNATIONAL WORKSHOP ON ENGINEERING MULTI-AGENT SYSTEMS,INTERNATIONAL WORKSHOP ON ENGINEERING MULTI-AGENT SYSTEMS,,,,,,,,,,,,,,,,,,,INTERNATIONAL WORKSHOP ON ENGINEERING MULTI-AGENT SYSTEMS,,,,,,,,match by name in spr
http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/eomas,Workshop on Enterprise and Organizational Modeling and Simulation,WORKSHOP ON ENTERPRISE AND ORGANIZATIONAL MODELING AND SIMULATION,WORKSHOP ON ENTERPRISE AND ORGANIZATIONAL MODELING AND SIMULATION,,,,,,,,,,,,,,,,,,,WORKSHOP ON ENTERPRISE AND ORGANIZATIONAL MODELING AND SIMULATION,,,,,,,,match by name in spr
http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/ewhci,International Conference on Human-Computer Interaction,INTERNATIONAL CONFERENCE ON HUMAN-COMPUTER INTERACTION,INTERNATIONAL CONFERENCE ON HUMAN-COMPUTER INTERACTION,,,,,,,,,,,,,,,,,,,INTERNATIONAL CONFERENCE ON HUMAN-COMPUTER INTERACTION,,,,,,,,match by name in spr
http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/hci,International Conference on Human-Computer Interaction,INTERNATIONAL CONFERENCE ON HUMAN-COMPUTER INTERACTION,INTERNATIONAL CONFERENCE ON HUMAN-COMPUTER INTERACTION,,,,,,,,,,,,,,,,,,,INTERNATIONAL CONFERENCE ON HUMAN-COMPUTER INTERACTION,,,,,,,,match by name in spr
http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/iccip,International Conference on Critical Infrastructure Protection,INTERNATIONAL CONFERENCE ON CRITICAL INFRASTRUCTURE PROTECTION,INTERNATIONAL CONFERENCE ON CRITICAL INFRASTRUCTURE PROTECTION,,,,,,,,,,,,,,,,,,,INTERNATIONAL CONFERENCE ON CRITICAL INFRASTRUCTURE PROTECTION,,,,,,,,match by name in spr
http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/ifip10-5,IFIP/IEEE International Conference on Very Large Scale Integration - System on a Chip,IFIP/IEEE INTERNATIONAL CONFERENCE ON VERY LARGE SCALE INTEGRATION - SYSTEM ON A CHIP,IFIP/IEEE INTERNATIONAL CONFERENCE ON VERY LARGE SCALE INTEGRATION - SYSTEM ON A CHIP,,,,,,,,,,,,,,,,,,,IFIP/IEEE INTERNATIONAL CONFERENCE ON VERY LARGE SCALE INTEGRATION - SYSTEM ON A CHIP,,,,,,,,match by name in spr
http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/ifip11-10,International Conference on Critical Infrastructure Protection,INTERNATIONAL CONFERENCE ON CRITICAL INFRASTRUCTURE PROTECTION,INTERNATIONAL CONFERENCE ON CRITICAL INFRASTRUCTURE PROTECTION,,,,,,,,,,,,,,,,,,,INTERNATIONAL CONFERENCE ON CRITICAL INFRASTRUCTURE PROTECTION,,,,,,,,match by name in spr
http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/ifip11-9,IFIP International Conference on Digital Forensics,IFIP INTERNATIONAL CONFERENCE ON DIGITAL FORENSICS,IFIP INTERNATIONAL CONFERENCE ON DIGITAL FORENSICS,,,,,,,,,,,,,,,,,,,IFIP INTERNATIONAL CONFERENCE ON DIGITAL FORENSICS,,,,,,,,match by name in spr
http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/ifip12,International Conference on Computer and Computing Technologies in Agriculture,INTERNATIONAL CONFERENCE ON COMPUTER AND COMPUTING TECHNOLOGIES IN AGRICULTURE,INTERNATIONAL CONFERENCE ON COMPUTER AND COMPUTING TECHNOLOGIES IN AGRICULTURE,,,,,,,,,,,,,,,,,,,INTERNATIONAL CONFERENCE ON COMPUTER AND COMPUTING TECHNOLOGIES IN AGRICULTURE,,,,,,,,match by name in spr
http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/ifip5-5,Working Conference on Virtual Enterprises,WORKING CONFERENCE ON VIRTUAL ENTERPRISES,WORKING CONFERENCE ON VIRTUAL ENTERPRISES,,,,,,,,,,,,,,,,,,,WORKING CONFERENCE ON VIRTUAL ENTERPRISES,,,,,,,,match by name in spr
http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/ifip8-1,IFIP Working Conference on The Practice of Enterprise Modeling,IFIP WORKING CONFERENCE ON THE PRACTICE OF ENTERPRISE MODELING,IFIP WORKING CONFERENCE ON THE PRACTICE OF ENTERPRISE MODELING,,,,,,,,,,,,,,,,,,,IFIP WORKING CONFERENCE ON THE PRACTICE OF ENTERPRISE MODELING,,,,,,,,match by name in spr
http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/ijcnlp,International Conference on Natural Language Processing,INTERNATIONAL CONFERENCE ON NATURAL LANGUAGE PROCESSING,INTERNATIONAL CONFERENCE ON NATURAL LANGUAGE PROCESSING,,,,,,,,,,,,,,,,,,,INTERNATIONAL CONFERENCE ON NATURAL LANGUAGE PROCESSING,,,,,,,,match by name in spr
http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/lfcs,International Symposium on Logical Foundations of Computer Science,INTERNATIONAL SYMPOSIUM ON LOGICAL FOUNDATIONS OF COMPUTER SCIENCE,INTERNATIONAL SYMPOSIUM ON LOGICAL FOUNDATIONS OF COMPUTER SCIENCE,,,,,,,,,,,,,,,,,,,INTERNATIONAL SYMPOSIUM ON LOGICAL FOUNDATIONS OF COMPUTER SCIENCE,,,,,,,,match by name in spr
http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/logicab,International Symposium on Logical Foundations of Computer Science,INTERNATIONAL SYMPOSIUM ON LOGICAL FOUNDATIONS OF COMPUTER SCIENCE,INTERNATIONAL SYMPOSIUM ON LOGICAL FOUNDATIONS OF COMPUTER SCIENCE,,,,,,,,,,,,,,,,,,,INTERNATIONAL SYMPOSIUM ON LOGICAL FOUNDATIONS OF COMPUTER SCIENCE,,,,,,,,match by name in spr
http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/miccai,Workshop on Augmented Environments for Computer-Assisted Interventions,WORKSHOP ON AUGMENTED ENVIRONMENTS FOR COMPUTER-ASSISTED INTERVENTIONS,WORKSHOP ON AUGMENTED ENVIRONMENTS FOR COMPUTER-ASSISTED INTERVENTIONS,,,,,,,,,,,,,,,,,,,WORKSHOP ON AUGMENTED ENVIRONMENTS FOR COMPUTER-ASSISTED INTERVENTIONS,,,,,,,,match by name in spr
http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/msept,"International Conference on Multicore Software Engineering, Performance, and Tools","INTERNATIONAL CONFERENCE ON MULTICORE SOFTWARE ENGINEERING, PERFORMANCE, AND TOOLS","INTERNATIONAL CONFERENCE ON MULTICORE SOFTWARE ENGINEERING, PERFORMANCE, AND TOOLS",,,,,,,,,,,,,,,,,,,"INTERNATIONAL CONFERENCE ON MULTICORE SOFTWARE ENGINEERING, PERFORMANCE, AND TOOLS",,,,,,,,match by name in spr
http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/musepat,"International Conference on Multicore Software Engineering, Performance, and Tools","INTERNATIONAL CONFERENCE ON MULTICORE SOFTWARE ENGINEERING, PERFORMANCE, AND TOOLS","INTERNATIONAL CONFERENCE ON MULTICORE SOFTWARE ENGINEERING, PERFORMANCE, AND TOOLS",,,,,,,,,,,,,,,,,,,"INTERNATIONAL CONFERENCE ON MULTICORE SOFTWARE ENGINEERING, PERFORMANCE, AND TOOLS",,,,,,,,match by name in spr
