3DIM,INTERNATIONAL CONFERENCE ON 3 - D DIGITAL IMAGING AND MODELING,B1,Conferência
3PGCIC,"INTERNATIONAL CONFERENCE ON P2P, PARALLEL, GRID, CLOUD, AND INTERNET COMPUTING",B4,Conferência
AC,IADIS INTERNATIONAL CONFERENCE ON APPLIED COMPUTING,B4,Conferência
ACE_A,INTERNATIONAL CONFERENCE ON ADVANCES IN COMPUTER ENTERTAINMENT TECHNOLOGY,B1,Conferência
ACHI,INTERNATIONAL CONFERENCE ON ADVANCES IN COMPUTER - HUMAN INTERACTION,B3,Conferência
ACII,INTERNATIONAL CONFERENCE ON AFFECTIVE COMPUTING AND INTELLIGENT INTERACTION,B1,Conferência
ACIS - ICIS,INTERNATIONAL CONFERENCE ON COMPUTER AND INFORMATION SCIENCE,B3,Conferência
ACNS,INTERNATIONAL CONFERENCE ON APPLIED CRYPTOGRAPHY AND NETWORK SECURITY,B1,Conferência
ACRI,INTERNATIONAL CONFERENCE ON CELLULAR AUTOMATA FOR RESEARCH AND INDUSTRY,B2,Conferência
ACSD,INTERNATIONAL CONFERENCE ON APPLICATION OF CONCURRENCY TO SYSTEM DESIGN,B1,Conferência
ADA - EUROPE,INTERNATIONAL CONFERENCE ON RELIABLE SOFTWARE TECHNOLOGIES,B2,Conferência
ADCOM,INTERNATIONAL CONFERENCE ON ADVANCED COMPUTING AND COMMUNICATIONS,B3,Conferência
ADHOCNETS,INTERNATIONAL CONFERENCE ON AD HOC NETWORKS,B5,Conferência
ADHOC - NOW,INTERNATIONAL CONFERENCE ON AD - HOC NETWORKS AND WIRELESS,B1,Conferência
ADMA,INTERNATIONAL CONFERENCE ON ADVANCED DATA MINING AND APPLICATIONS,B2,Conferência
AEM,INTERNATIONAL CONFERENCE ON APPLIED AND ENGINEERING MATHEMATICS,B4,Conferência
AFRICACRYPT,INTERNATIONAL CONFERENCE ON CRYPTOLOGY IN AFRICA,B3,Conferência
AGO,INTERNATIONAL CONFERENCE ON ADVANCES IN GLOBAL OPTIMIZATION: METHODS AND APPLICATIONS,B5,Conferência
AIAI,IFIP INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE APPLICATIONS AND INNOVATIONS,B4,Conferência
AICCSA,ACS/IEEE INTERNATIONAL CONFERENCE ON COMPUTER SYSTEMS AND APPLICATIONS,B1,Conferência
AICT,ADVANCED INTERNATIONAL CONFERENCE ON TELECOMMUNICATIONS,B1,Conferência
AIED,INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE IN EDUCATION,B1,Conferência
AINA,INTERNATIONAL CONFERENCE ON ADVANCED INFORMATION NETWORKING AND APPLICATIONS,A2,Conferência
AIS,SIGED INTERNATIONAL CONFERENCE ON INFORMATICS EDUCATION AND RESEARCH,B5,Conferência
AISAT,INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE IN SCIENCE AND TECHNOLOGY,B5,Conferência
AISC,INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE AND SYMBOLIC COMPUTING,B3,Conferência
ALGOR,INTERNATIONAL CONFERENCE ON ALGORITHMIC OPERATIONS RESEARCH AND OPERATIONS RESEARCH CASE COMPETITION,B4,Conferência
ALIFE_A,INTERNATIONAL CONFERENCE ON THE SIMULATION AND SYNTHESIS OF LIVING SYSTEMS,B2,Conferência
ALPIT,INTERNATIONAL CONFERENCE ON ADVANCED LANGUAGE PROCESSING AND WEB INFORMATION TECHNOLOGY,B4,Conferência
AMAST,INTERNATIONAL CONFERENCE ON ALGEBRAIC METHODOLOGY AND SOFTWARE TECHNOLOGY,B1,Conferência
AMCS,INTERNATIONAL CONFERENCE ON ALGORITHMIC MATHEMATICS AND COMPUTER SCIENCE,B5,Conferência
AOSD,INTERNATIONAL CONFERENCE ON ASPECT - ORIENTED SOFTWARE DEVELOPMENT,A1,Conferência
ARES,INTERNATIONAL CONFERENCE ON AVAILABILITY: RELIABILITY AND SECURITY,B1,Conferência
ASAP,IEEE INTERNATIONAL CONFERENCE ON APPLICATION - SPECIFIC SYSTEMS: ARCHITECTURES AND PROCESSORS,B1,Conferência
