Sigla/ISSN,Título da publicação,Estrato,Tipo,SPRINGER_PROPERTY_ORG,SPRINGER_ID_ORG,SPRINGER_NAME_ORG,SPRINGER_NAME_UPPER,NAME_UPPER_ALL,MATCHING_CASE,COMMENT
ACII,INTERNATIONAL CONFERENCE ON AFFECTIVE COMPUTING AND INTELLIGENT INTERACTION,B1,Conferência,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/acii,International Conference on Affective Computing and Intelligent Interaction,INTERNATIONAL CONFERENCE ON AFFECTIVE COMPUTING AND INTELLIGENT INTERACTION,INTERNATIONAL CONFERENCE ON AFFECTIVE COMPUTING AND INTELLIGENT INTERACTION,,
ACNS,INTERNATIONAL CONFERENCE ON APPLIED CRYPTOGRAPHY AND NETWORK SECURITY,B1,Conferência,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/acns,International Conference on Applied Cryptography and Network Security,INTERNATIONAL CONFERENCE ON APPLIED CRYPTOGRAPHY AND NETWORK SECURITY,INTERNATIONAL CONFERENCE ON APPLIED CRYPTOGRAPHY AND NETWORK SECURITY,,
ADHOCNETS,INTERNATIONAL CONFERENCE ON AD HOC NETWORKS,B5,Conferência,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/adhocnets,International Conference on Ad Hoc Networks,INTERNATIONAL CONFERENCE ON AD HOC NETWORKS,INTERNATIONAL CONFERENCE ON AD HOC NETWORKS,,
ADMA,INTERNATIONAL CONFERENCE ON ADVANCED DATA MINING AND APPLICATIONS,B2,Conferência,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/adma,International Conference on Advanced Data Mining and Applications,INTERNATIONAL CONFERENCE ON ADVANCED DATA MINING AND APPLICATIONS,INTERNATIONAL CONFERENCE ON ADVANCED DATA MINING AND APPLICATIONS,,
AFRICACRYPT,INTERNATIONAL CONFERENCE ON CRYPTOLOGY IN AFRICA,B3,Conferência,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/africacrypt,International Conference on Cryptology in Africa,INTERNATIONAL CONFERENCE ON CRYPTOLOGY IN AFRICA,INTERNATIONAL CONFERENCE ON CRYPTOLOGY IN AFRICA,,
AIAI,IFIP INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE APPLICATIONS AND INNOVATIONS,B4,Conferência,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/aiai,IFIP International Conference on Artificial Intelligence Applications and Innovations,IFIP INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE APPLICATIONS AND INNOVATIONS,IFIP INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE APPLICATIONS AND INNOVATIONS,by upper name,
AIED,INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE IN EDUCATION,B1,Conferência,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/aied,International Conference on Artificial Intelligence in Education,INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE IN EDUCATION,INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE IN EDUCATION,,
AMAST,INTERNATIONAL CONFERENCE ON ALGEBRAIC METHODOLOGY AND SOFTWARE TECHNOLOGY,B1,Conferência,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/amast,International Conference on Algebraic Methodology and Software Technology,INTERNATIONAL CONFERENCE ON ALGEBRAIC METHODOLOGY AND SOFTWARE TECHNOLOGY,INTERNATIONAL CONFERENCE ON ALGEBRAIC METHODOLOGY AND SOFTWARE TECHNOLOGY,,
ASIACRYPT,INTERNATIONAL CONFERENCE ON THE THEORY AND APPLICATION OF CRYPTOLOGY AND INFORMATION SECURITY,A1,Conferência,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/asiacrypt,International Conference on the Theory and Application of Cryptology and Information Security,INTERNATIONAL CONFERENCE ON THE THEORY AND APPLICATION OF CRYPTOLOGY AND INFORMATION SECURITY,INTERNATIONAL CONFERENCE ON THE THEORY AND APPLICATION OF CRYPTOLOGY AND INFORMATION SECURITY,,
BIS,INTERNATIONAL CONFERENCE ON BUSINESS INFORMATION SYSTEMS,B2,Conferência,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/bis,International Conference on Business Information Systems,INTERNATIONAL CONFERENCE ON BUSINESS INFORMATION SYSTEMS,INTERNATIONAL CONFERENCE ON BUSINESS INFORMATION SYSTEMS,,
